Origin State,Aircraft Airline Operator,Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots,latitude,longitude
Arizona,ABX AIR,3,3,3,3,3,3,3,3,3,3,3,0,3,3
Arizona,AIR CANADA,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Arizona,AIRTRAN AIRWAYS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arizona,ALASKA AIRLINES,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Arizona,AMERICA WEST AIRLINES,59,59,59,59,59,59,59,59,59,59,59,31,59,59
Arizona,AMERICAN AIRLINES,9,9,9,9,9,9,9,9,9,9,9,8,9,9
Arizona,BUSINESS,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Arizona,DELTA AIR LINES,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Arizona,FEDEX EXPRESS,3,3,3,3,3,3,3,3,3,3,3,1,3,3
Arizona,MESA AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Arizona,SOUTHWEST AIRLINES,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Arizona,UNITED AIRLINES,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Arizona,UNKNOWN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arizona,UPS AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Arizona,US AIRWAYS*,4,4,4,4,4,4,4,4,4,4,4,3,4,4
California,ABX AIR,2,2,2,2,2,2,2,2,2,2,2,0,2,2
California,AIR CANADA,6,6,6,6,6,6,6,6,6,6,6,6,6,6
California,ALASKA AIRLINES,37,37,37,37,37,37,37,37,37,37,37,20,37,37
California,AMERICA WEST AIRLINES,70,70,70,70,70,70,70,70,70,70,70,38,70,70
California,AMERICAN AIRLINES,172,172,172,172,172,172,172,172,172,172,172,139,172,172
California,AMERICAN EAGLE AIRLINES,12,12,12,12,12,12,12,12,12,12,12,9,12,12
California,ASTAR AIR CARGO,3,3,3,3,3,3,3,3,3,3,3,2,3,3
California,BUSINESS,46,46,46,46,46,46,46,46,46,46,46,33,46,46
California,CONTINENTAL AIRLINES,6,6,6,6,6,6,6,6,6,6,6,4,6,6
California,DELTA AIR LINES,43,43,43,43,43,43,43,43,43,43,43,26,43,43
California,FEDEX EXPRESS,30,30,30,30,30,30,30,30,30,30,30,16,30,30
California,FRONTIER AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
California,GOVERNMENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
California,HAWAIIAN AIR,3,3,3,3,3,3,3,3,3,3,3,2,3,3
California,HORIZON AIR,22,22,22,22,22,22,22,22,22,22,22,5,22,22
California,JAPAN AIRLINES,3,3,3,3,3,3,3,3,3,3,3,2,3,3
California,MILITARY,17,17,17,17,17,17,17,17,17,17,17,15,17,17
California,NORTHWEST AIRLINES,19,19,19,19,19,19,19,19,19,19,19,8,19,19
California,PRIVATELY OWNED,6,6,6,6,6,6,6,6,6,6,6,5,6,6
California,SKYWEST AIRLINES,24,24,24,24,24,24,24,24,24,24,24,11,24,24
California,SOUTHWEST AIRLINES,185,185,185,185,185,185,185,185,185,185,185,145,185,185
California,TRANS STATES AIRLINES,9,9,9,9,9,9,9,9,9,9,9,4,9,9
California,TRANS WORLD AIRLINES,12,12,12,12,12,12,12,12,12,12,12,3,12,12
California,UNITED AIRLINES,129,129,129,129,129,129,129,129,129,129,129,57,129,129
California,UNKNOWN,7,7,7,7,7,7,7,7,7,7,7,6,7,7
California,UPS AIRLINES,3,3,3,3,3,3,3,3,3,3,3,3,3,3
California,US AIRWAYS*,22,22,22,22,22,22,22,22,22,22,22,17,22,22
Colorado,ABX AIR,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Colorado,AIR CANADA,5,5,5,5,5,5,5,5,5,5,5,1,5,5
Colorado,AIR WISCONSIN AIRLINES,6,6,6,6,6,6,6,6,6,6,6,0,6,6
Colorado,AMERICA WEST AIRLINES,9,9,9,9,9,9,9,9,9,9,9,3,9,9
Colorado,AMERICAN AIRLINES,31,31,31,31,31,31,31,31,31,31,31,22,31,31
Colorado,BUSINESS,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Colorado,CONTINENTAL AIRLINES,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Colorado,DELTA AIR LINES,7,7,7,7,7,7,7,7,7,7,7,5,7,7
Colorado,EXECUTIVE JET AVIATION,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,FEDEX EXPRESS,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Colorado,FRONTIER AIRLINES,15,15,15,15,15,15,15,15,15,15,15,11,15,15
Colorado,GREAT LAKES AIRLINES,20,20,20,20,20,20,20,20,20,20,20,15,20,20
Colorado,MESA AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Colorado,NORTHWEST AIRLINES,10,10,10,10,10,10,10,10,10,10,10,0,10,10
Colorado,TRANS WORLD AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,UNITED AIRLINES,64,64,64,64,64,64,64,64,64,64,64,6,64,64
Colorado,UNKNOWN,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Colorado,UPS AIRLINES,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Colorado,US AIRWAYS*,7,7,7,7,7,7,7,7,7,7,7,4,7,7
DC,ABX AIR,1,1,1,1,1,1,1,1,1,1,1,0,1,1
DC,AIR CANADA,16,16,16,16,16,16,16,16,16,16,16,14,16,16
DC,AIR WISCONSIN AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DC,AIRTRAN AIRWAYS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DC,ALLEGHENYAIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
DC,AMERICA WEST AIRLINES,6,6,6,6,6,6,6,6,6,6,6,4,6,6
DC,AMERICAN AIRLINES,71,71,71,71,71,71,71,71,71,71,71,65,71,71
DC,AMERICAN EAGLE AIRLINES,5,5,5,5,5,5,5,5,5,5,5,4,5,5
DC,ATLANTIC COAST AIRLINES,101,101,101,101,101,101,101,101,101,101,101,84,101,101
DC,BUSINESS,24,24,24,24,24,24,24,24,24,24,24,20,24,24
DC,COMAIR AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DC,COMMUTAIR,2,2,2,2,2,2,2,2,2,2,2,1,2,2
DC,CONTINENTAL AIRLINES,10,10,10,10,10,10,10,10,10,10,10,9,10,10
DC,DELTA AIR LINES,36,36,36,36,36,36,36,36,36,36,36,26,36,36
DC,EXECUTIVE JET AVIATION,2,2,2,2,2,2,2,2,2,2,2,1,2,2
DC,EXPRESSJET (CONTINENTAL EXPRS),5,5,5,5,5,5,5,5,5,5,5,4,5,5
DC,FEDEX EXPRESS,5,5,5,5,5,5,5,5,5,5,5,3,5,5
DC,GOVERNMENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DC,MESA AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DC,MILITARY,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DC,NORTHWEST AIRLINES,13,13,13,13,13,13,13,13,13,13,13,10,13,13
DC,PIEDMONT AIRLINES,6,6,6,6,6,6,6,6,6,6,6,4,6,6
DC,PSA AIRLINES,2,2,2,2,2,2,2,2,2,2,2,1,2,2
DC,TRANS STATES AIRLINES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DC,TRANS WORLD AIRLINES,3,3,3,3,3,3,3,3,3,3,3,2,3,3
DC,UNITED AIRLINES,59,59,59,59,59,59,59,59,59,59,59,43,59,59
DC,UNKNOWN,3,3,3,3,3,3,3,3,3,3,3,3,3,3
DC,US AIRWAYS*,95,95,95,95,95,95,95,95,95,95,95,75,95,95
Florida,ABX AIR,4,4,4,4,4,4,4,4,4,4,4,2,4,4
Florida,AIR CANADA,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Florida,AIRTRAN AIRWAYS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Florida,AMERICA WEST AIRLINES,5,5,5,5,5,5,5,5,5,5,5,4,5,5
Florida,AMERICAN AIRLINES,43,43,43,43,43,43,43,43,43,43,43,39,43,43
Florida,AMERICAN EAGLE AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,ATLANTIC COAST AIRLINES,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Florida,ATLANTIC SOUTHEAST,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,BUSINESS,9,9,9,9,9,9,9,9,9,9,9,7,9,9
Florida,COMAIR AIRLINES,7,7,7,7,7,7,7,7,7,7,7,3,7,7
Florida,CONTINENTAL AIRLINES,6,6,6,6,6,6,6,6,6,6,6,5,6,6
Florida,DELTA AIR LINES,53,53,53,53,53,53,53,53,53,53,53,42,53,53
Florida,FEDEX EXPRESS,7,7,7,7,7,7,7,7,7,7,7,3,7,7
Florida,MESA AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Florida,NORTHWEST AIRLINES,7,7,7,7,7,7,7,7,7,7,7,4,7,7
Florida,PIEDMONT AIRLINES,4,4,4,4,4,4,4,4,4,4,4,1,4,4
Florida,PRIVATELY OWNED,3,3,3,3,3,3,3,3,3,3,3,1,3,3
Florida,SOUTHWEST AIRLINES,22,22,22,22,22,22,22,22,22,22,22,21,22,22
Florida,SPIRIT AIRLINES,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Florida,TRANS WORLD AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,UNITED AIRLINES,7,7,7,7,7,7,7,7,7,7,7,3,7,7
Florida,UNKNOWN,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Florida,US AIRWAYS*,56,56,56,56,56,56,56,56,56,56,56,46,56,56
Georgia,ABX AIR,7,7,7,7,7,7,7,7,7,7,7,3,7,7
Georgia,AIR CANADA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,AIRTRAN AIRWAYS,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Georgia,AMERICA WEST AIRLINES,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Georgia,AMERICAN AIRLINES,21,21,21,21,21,21,21,21,21,21,21,19,21,21
Georgia,ASTAR AIR CARGO,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,ATLANTIC SOUTHEAST,13,13,13,13,13,13,13,13,13,13,13,12,13,13
Georgia,BUSINESS,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Georgia,CONTINENTAL AIRLINES,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Georgia,DELTA AIR LINES,111,111,111,111,111,111,111,111,111,111,111,102,111,111
Georgia,FEDEX EXPRESS,5,5,5,5,5,5,5,5,5,5,5,0,5,5
Georgia,GOVERNMENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,MILITARY,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,NORTHWEST AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,TRANS WORLD AIRLINES,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Georgia,UNITED AIRLINES,5,5,5,5,5,5,5,5,5,5,5,3,5,5
Georgia,UNKNOWN,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Georgia,UPS AIRLINES,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Georgia,US AIRWAYS*,9,9,9,9,9,9,9,9,9,9,9,8,9,9
Hawaii,ALLEGHENYAIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Hawaii,ALOHA AIRLINES,184,184,184,184,184,184,184,184,184,184,184,123,184,184
Hawaii,AMERICAN AIRLINES,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Hawaii,BUSINESS,14,14,14,14,14,14,14,14,14,14,14,9,14,14
Hawaii,CONTINENTAL AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Hawaii,DELTA AIR LINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,FEDEX EXPRESS,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Hawaii,GOVERNMENT,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Hawaii,HAWAIIAN AIR,93,93,93,93,93,93,93,93,93,93,93,69,93,93
Hawaii,JAPAN AIRLINES,4,4,4,4,4,4,4,4,4,4,4,3,4,4
Hawaii,MILITARY,38,38,38,38,38,38,38,38,38,38,38,33,38,38
Hawaii,NORTHWEST AIRLINES,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Hawaii,PRIVATELY OWNED,3,3,3,3,3,3,3,3,3,3,3,1,3,3
Hawaii,UNITED AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,UNKNOWN,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Illinois,ABX AIR,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Illinois,AIR CANADA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Illinois,AIR WISCONSIN AIRLINES,9,9,9,9,9,9,9,9,9,9,9,7,9,9
Illinois,AIRTRAN AIRWAYS,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Illinois,AMERICA WEST AIRLINES,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Illinois,AMERICAN AIRLINES,267,267,267,267,267,267,267,267,267,267,267,235,267,267
Illinois,AMERICAN EAGLE AIRLINES,20,20,20,20,20,20,20,20,20,20,20,15,20,20
Illinois,ATLANTIC COAST AIRLINES,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Illinois,BUSINESS,10,10,10,10,10,10,10,10,10,10,10,9,10,10
Illinois,CONTINENTAL AIRLINES,5,5,5,5,5,5,5,5,5,5,5,2,5,5
Illinois,DELTA AIR LINES,6,6,6,6,6,6,6,6,6,6,6,4,6,6
Illinois,EXECUTIVE JET AVIATION,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Illinois,FEDEX EXPRESS,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Illinois,FRONTIER AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,GREAT LAKES AIRLINES,8,8,8,8,8,8,8,8,8,8,8,7,8,8
Illinois,MILITARY,11,11,11,11,11,11,11,11,11,11,11,10,11,11
Illinois,NORTHWEST AIRLINES,4,4,4,4,4,4,4,4,4,4,4,1,4,4
Illinois,SOUTHWEST AIRLINES,54,54,54,54,54,54,54,54,54,54,54,48,54,54
Illinois,UNITED AIRLINES,75,75,75,75,75,75,75,75,75,75,75,36,75,75
Illinois,UNKNOWN,4,4,4,4,4,4,4,4,4,4,4,2,4,4
Illinois,UPS AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,US AIRWAYS*,10,10,10,10,10,10,10,10,10,10,10,6,10,10
Indiana,AMERICA WEST AIRLINES,9,9,9,9,9,9,9,9,9,9,9,5,9,9
Indiana,AMERICAN AIRLINES,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Indiana,AMERICAN EAGLE AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indiana,ATLANTIC COAST AIRLINES,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Indiana,BUSINESS,12,12,12,12,12,12,12,12,12,12,12,3,12,12
Indiana,CHAUTAUQUA AIRLINES,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Indiana,COMAIR AIRLINES,4,4,4,4,4,4,4,4,4,4,4,2,4,4
Indiana,CONTINENTAL AIRLINES,3,3,3,3,3,3,3,3,3,3,3,1,3,3
Indiana,DELTA AIR LINES,6,6,6,6,6,6,6,6,6,6,6,4,6,6
Indiana,EXPRESSJET (CONTINENTAL EXPRS),3,3,3,3,3,3,3,3,3,3,3,3,3,3
Indiana,FEDEX EXPRESS,29,29,29,29,29,29,29,29,29,29,29,16,29,29
Indiana,NORTHWEST AIRLINES,9,9,9,9,9,9,9,9,9,9,9,4,9,9
Indiana,PIEDMONT AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Indiana,PSA AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indiana,SOUTHWEST AIRLINES,14,14,14,14,14,14,14,14,14,14,14,11,14,14
Indiana,UNITED AIRLINES,7,7,7,7,7,7,7,7,7,7,7,5,7,7
Indiana,US AIRWAYS*,28,28,28,28,28,28,28,28,28,28,28,20,28,28
Kentucky,ABX AIR,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Kentucky,AMERICAN AIRLINES,22,22,22,22,22,22,22,22,22,22,22,17,22,22
Kentucky,AMERICAN EAGLE AIRLINES,5,5,5,5,5,5,5,5,5,5,5,3,5,5
Kentucky,ASTAR AIR CARGO,13,13,13,13,13,13,13,13,13,13,13,10,13,13
Kentucky,ATLANTIC COAST AIRLINES,4,4,4,4,4,4,4,4,4,4,4,2,4,4
Kentucky,BUSINESS,18,18,18,18,18,18,18,18,18,18,18,9,18,18
Kentucky,CHAUTAUQUA AIRLINES,3,3,3,3,3,3,3,3,3,3,3,1,3,3
Kentucky,COMAIR AIRLINES,88,88,88,88,88,88,88,88,88,88,88,67,88,88
Kentucky,CONTINENTAL AIRLINES,4,4,4,4,4,4,4,4,4,4,4,2,4,4
Kentucky,DELTA AIR LINES,129,129,129,129,129,129,129,129,129,129,129,96,129,129
Kentucky,EXECUTIVE JET AVIATION,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kentucky,EXPRESSJET (CONTINENTAL EXPRS),7,7,7,7,7,7,7,7,7,7,7,7,7,7
Kentucky,FEDEX EXPRESS,7,7,7,7,7,7,7,7,7,7,7,5,7,7
Kentucky,MESABA AIRLINES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kentucky,MILITARY,4,4,4,4,4,4,4,4,4,4,4,3,4,4
Kentucky,NORTHWEST AIRLINES,11,11,11,11,11,11,11,11,11,11,11,7,11,11
Kentucky,PRIVATELY OWNED,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Kentucky,PSA AIRLINES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
